Form Control,State,Excluding State,Form Type,Form Type Description,Form Name,Form Number,Form Priority,Form Key,Form Version,Filed Form Number,Location,Docusign Link,Form Status,Start Date,End Date,Interview ID,Auth Combined,Application Combined,Policy Combined,Policy Packet,Producer Combined,Illustration Combined,Form Owner,Insured/Applicant/Owner Name & Signature,Ethos Agent Signature,Carrier Signature,Ethos Address,Carrier Address,Field Mapping,Internal Doc Type,External Doc Type,Acord Doc Type,External Doc Control,External Form Description,Business Rule,Notes,Required Fields,,,,,,,,,,,,,,,,
Banner_FESI,FL,,Application ,,STATEMENT OF GOOD HEALTH AND CONTINUED INSURABILITY,LU-1013-FL (5-14),42.0,23dfa4a4-5043-4105-b67f-e8668152aac8,,,LU-1013-FL (5-14),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,N,N,Y,Y,,,,,,Include for Reissues policies only,,,,,,,,,,,,,,,,,,
Banner_FESI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Back Cover],Multiple,44.1,fdec8d17-b4dc-43df-a76a-4a97a3813296,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",ME,,Endorsement,,ENDORSEMENT - MAINE,LU1305 ME (9-11),50.0,37a38a9f-0699-48b0-9521-83777415db9b,,,LU1305 ME (9-11),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",KS,,Endorsement,,Kansas Notice of Contestability on Replacement Policies,LU1257-KS,50.0,c7cb0cd4-adad-4838-a846-08d1d0e07b1d,,,LU1257-KS,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",MO,,Endorsement,,MISSOURI BENEFICIARY DESIGNATION,LU1328-MO,50.0,658c23f9-6830-4e8d-8dc4-0fcc0eba631a,,,LU1328-MO,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",PA,,Endorsement,,ENDORSEMENT,ICC13AMUPA,50.0,fb9ca722-5c56-4cd8-8861-54a3fa13b710,,,ICC13AMUPA,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI","CA, FL",,Policy Benefit,,PERKS BENEFIT,21-ETH PERKS 12/2021,49.0,b014a070-0366-41be-9850-f1709ec3b826,,,21-ETH PERKS 12/2021,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,,Disclosure,,STATEMENT OF POLICY COST AND BENEFIT INFORMATION,22-ETH.PCB.GN (04/2022),46.0,20d4c8bf-f071-4933-90b6-a3678a1cf839,,,22-ETH.PCB.GN (04/2022),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,Y,N,N,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,"CA, FL, ME, VT",HIPAA,,Authorization to Obtain and Disclose Information,ICC20 LU-1250 (5-20),51.1,30c96e81-bfc7-4550-905e-d65112f4d910,,,ICC20 LU-1250 (5-20),Link,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",CA,,HIPAA,,Authorization to Obtain and Disclose Information,LU-1250-CA (3-24),51.1,7880a79e-764a-4ad4-8a56-0a06704a2db5,,,LU-1250-CA (3-24),Link,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",FL,,HIPAA,,Authorization to Obtain and Disclose Information,LU-1250-FL (5-20),51.1,c051b8e8-8c5c-4d6d-ae3f-b34ec47e8a69,,,LU-1250-FL (5-20),Link,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",ME,,HIPAA,,Authorization to Obtain and Disclose Information,ICC20 LU-1250ME (5-20),51.1,fecb85e6-a0d2-4125-8839-3dcf8522078e,,,ICC20 LU-1250ME (5-20),Link,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",VT,,HIPAA,,Authorization to Obtain and Disclose Information,ICC20 LU-1250VT (5-20),51.1,2b1cebc4-4f4a-4870-9871-08cae78646c6,,,ICC20 LU-1250VT (5-20),Link,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,,Disclosure,,Privacy Notice,LU1236 (11-19),51.3,4e9e7933-25fe-4991-863d-8a4994c1b043,,,LU1236 (11-19),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,N,N,N,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",TX,,Disclosure,,TX Notice to Consumers,LU-1108,51.0,4b495799-156c-48c3-af4c-ddff81098939,,,LU-1108,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,N,N,N,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,,Application ,,E-SIGN CONFIRMATION APPLICATION COMBINED,24-ETH-ESIGN-CONFM,57.0,supplemental-info-formkey,,,None,None,Pending,1900-01-02 00:00:00,,,N,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,,Authorization,,E-SIGN CONFIRMATION AUTH COMBINED,24-ETH-ESIGN-CONFM,57.0,supplemental-info-formkey,,,None,None,Pending,1900-01-02 00:00:00,,,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,,Contract Pages,,E-SIGN CONFIRMATION POLICY COMBINED,24-ETH-ESIGN-CONFM,57.0,supplemental-info-formkey,,,None,None,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,,Contract Pages,,E-SIGN CONFIRMATION POLICY PACKET,24-ETH-ESIGN-CONFM,57.0,supplemental-info-formkey,,,None,None,Pending,1900-01-02 00:00:00,,,N,N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
